Hour,Hour Ending,SOUTH,Demand,wind_cf,Wind_Gen,solar_cf,Solar_Gen,net_load
1,2021-01-01 01:00:00,7778.262533,7778.262533,0.448122353,3584.978824,1.61e-06,0.01932,4193.264389
2,2021-01-01 02:00:00,7693.744119,7693.744119,0.452044662,3616.3572959999997,1.61e-06,0.01932,4077.3675030000004
3,2021-01-01 03:00:00,7566.951524,7566.951524,0.465779142,3726.233136,1.61e-06,0.01932,3840.6990680000004
4,2021-01-01 04:00:00,7506.685527,7506.685527,0.452495214,3619.961712,1.61e-06,0.01932,3886.704495
5,2021-01-01 05:00:00,7563.971854,7563.971854,0.405200682,3241.605456,1.61e-06,0.01932,4322.347078
6,2021-01-01 06:00:00,7716.803602,7716.803602,0.386622769,3092.982152,1.61e-06,0.01932,4623.802129999999
7,2021-01-01 07:00:00,7899.134781,7899.134781,0.352487395,2819.89916,1.61e-06,0.01932,5079.2163009999995
8,2021-01-01 08:00:00,8021.636984,8021.636984,0.344049635,2752.39708,1.61e-06,0.01932,5269.220584
9,2021-01-01 09:00:00,7878.398455,7878.398455,0.320515651,2564.125208,0.010742918,128.915016,5185.358230999999
10,2021-01-01 10:00:00,7614.075689,7614.075689,0.31195837,2495.66696,0.232061347,2784.736164,2333.6725650000008
11,2021-01-01 11:00:00,7341.170941,7341.170941,0.337476121,2699.8089680000003,0.41209494,4945.13928,-303.7773070000003
12,2021-01-01 12:00:00,7030.816356,7030.816356,0.358921085,2871.3686799999996,0.491375383,5896.504596,-1737.056919999999
13,2021-01-01 13:00:00,6654.424096,6654.424096,0.345534954,2764.279632,0.492277956,5907.335472,-2017.1910080000002
14,2021-01-01 14:00:00,6328.485747,6328.485747,0.296903285,2375.2262800000003,0.509749245,6116.99094,-2163.7314730000003
15,2021-01-01 15:00:00,6094.220976,6094.220976,0.261087581,2088.700648,0.442012085,5304.14502,-1298.6246920000003
16,2021-01-01 16:00:00,6006.420645,6006.420645,0.209709718,1677.6777439999998,0.456610433,5479.325196,-1150.5822949999992
17,2021-01-01 17:00:00,6092.15227,6092.15227,0.161990656,1295.925248,0.433822159,5205.865908,-409.63888600000064
18,2021-01-01 18:00:00,6530.55451,6530.55451,0.115466872,923.734976,0.147674609,1772.0953080000002,3834.7242260000003
19,2021-01-01 19:00:00,7117.33296,7117.33296,0.106546691,852.373528,0.000137669,1.652028,6263.307403999999
20,2021-01-01 20:00:00,7236.112056,7236.112056,0.119445846,955.5667679999999,3.84e-06,0.046079999999999996,6280.499208
21,2021-01-01 21:00:00,7287.59984,7287.59984,0.111565564,892.5245120000001,3.84e-06,0.046079999999999996,6395.029248
22,2021-01-01 22:00:00,7284.436602,7284.436602,0.119813892,958.5111360000001,3.84e-06,0.046079999999999996,6325.879386
23,2021-01-01 23:00:00,7149.474073,7149.474073,0.115403827,923.230616,3.84e-06,0.046079999999999996,6226.197377
24,,6953.104637,6953.104637,0.149313053,1194.504424,3.84e-06,0.046079999999999996,5758.554133000001
25,2021-01-02 01:00:00,6729.39562,6729.39562,0.14279321,1142.3456800000001,3.84e-06,0.046079999999999996,5587.00386
