Hour,Wind,Solar,,
1,0.448122353,1.61E-06,,
2,0.452044662,1.61E-06,,
3,0.465779142,1.61E-06,,
4,0.452495214,1.61E-06,,
5,0.405200682,1.61E-06,,
6,0.386622769,1.61E-06,,
7,0.352487395,1.61E-06,,
8,0.344049635,1.61E-06,,
9,0.320515651,0.010742918,,
10,0.31195837,0.232061347,,
11,0.337476121,0.41209494,,
12,0.358921085,0.491375383,,
13,0.345534954,0.492277956,,
14,0.296903285,0.509749245,,
15,0.261087581,0.442012085,,
16,0.209709718,0.456610433,,
17,0.161990656,0.433822159,,
18,0.115466872,0.147674609,,
19,0.106546691,0.000137669,,
20,0.119445846,3.84E-06,,
21,0.111565564,3.84E-06,,
22,0.119813892,3.84E-06,,
23,0.115403827,3.84E-06,,
24,0.149313053,3.84E-06,,
25,0.14279321,3.84E-06,,
26,0.113940483,3.84E-06,,
27,0.090534821,3.84E-06,,
28,0.090014521,3.84E-06,,
29,0.111373972,3.84E-06,,
30,0.100353927,3.84E-06,,
31,0.093685577,3.84E-06,,
32,0.110516225,3.84E-06,,
33,0.126750964,0.012398301,,
34,0.148487042,0.390056678,,
35,0.121020601,0.601541842,,
36,0.170882275,0.624334869,,
37,0.229229384,0.607694842,,
38,0.280066308,0.605740766,,
39,0.303143603,0.632340382,,
40,0.317019306,0.634545946,,
41,0.315291832,0.623036286,,
42,0.305415991,0.269479237,,
43,0.3883084,0.000365578,,
44,0.467807461,5.19E-06,,
45,0.511474609,5.19E-06,,
46,0.532357626,5.19E-06,,
47,0.523242634,5.19E-06,,
48,0.512422714,5.19E-06,,
49,0.529542085,5.19E-06,,
50,0.5301164,5.19E-06,,
51,0.52109609,5.19E-06,,
52,0.537020951,5.19E-06,,
53,0.543912798,5.19E-06,,
54,0.530479467,5.19E-06,,
55,0.513454903,5.19E-06,,
56,0.508472346,5.19E-06,,
57,0.499580615,0.020169404,,
58,0.426666433,0.426813953,,
59,0.306990327,0.629712273,,
60,0.232821025,0.629893315,,
61,0.193219947,0.612557083,,
62,0.162978143,0.609102811,,
63,0.132460722,0.631640807,,
64,0.114803238,0.645387147,,
65,0.108341302,0.61278882,,
66,0.106316238,0.174812564,,
67,0.141806538,0.000504321,,
68,0.220514847,9.26E-06,,
69,0.300877441,9.26E-06,,
70,0.376299253,9.26E-06,,
71,0.416094584,9.26E-06,,
72,0.433973451,9.26E-06,,
73,0.451216579,9.26E-06,,
74,0.450711938,9.26E-06,,
75,0.435561525,9.26E-06,,
76,0.427692118,9.26E-06,,
77,0.433788002,9.26E-06,,
78,0.44146275,9.26E-06,,
79,0.455525953,9.26E-06,,
80,0.464138017,9.26E-06,,
81,0.414399586,0.012020322,,
82,0.359376851,0.426287985,,
83,0.302770609,0.635867089,,
84,0.277146925,0.612203081,,
85,0.25554806,0.607833876,,
86,0.241257744,0.602504661,,
87,0.199884092,0.630250644,,
88,0.164116443,0.657681393,,
89,0.135072469,0.626044156,,
90,0.108593521,0.27882573,,
91,0.106126116,0.000489378,,
92,0.112466454,8.50E-07,,
93,0.102365492,8.50E-07,,
94,0.103065664,8.50E-07,,
95,0.10927578,8.50E-07,,
96,0.122753293,8.50E-07,,
97,0.140649611,8.50E-07,,
98,0.143671954,8.50E-07,,
99,0.144066231,8.50E-07,,
100,0.147787969,8.50E-07,,
101,0.152991022,8.50E-07,,
102,0.172053504,8.50E-07,,
103,0.18438108,8.50E-07,,
104,0.206010846,8.50E-07,,
105,0.272071774,0.014955481,,
106,0.309803936,0.364288152,,
107,0.266208792,0.538194372,,
108,0.307462589,0.557366305,,
109,0.357678149,0.552297567,,
110,0.384130259,0.577100897,,
111,0.442518839,0.559300241,,
112,0.47533986,0.4577619,,
113,0.480549281,0.357499387,,
114,0.46343859,0.096831751,,
115,0.542216776,0.000105741,,
116,0.632799073,9.43E-08,,
117,0.667583948,9.43E-08,,
118,0.664798475,9.43E-08,,
119,0.670712185,9.43E-08,,
120,0.644633897,9.43E-08,,
121,0.627719906,9.43E-08,,
122,0.597964192,9.43E-08,,
123,0.572905101,9.43E-08,,
124,0.559692567,9.43E-08,,
125,0.557465569,9.43E-08,,
126,0.580493107,9.43E-08,,
127,0.616417644,9.43E-08,,
128,0.6366993,9.43E-08,,
129,0.642040042,0.007275524,,
130,0.604674362,0.281118746,,
131,0.651814513,0.181850601,,
132,0.661333998,0.1885109,,
133,0.641213968,0.206903929,,
134,0.652000797,0.196570717,,
135,0.644808009,0.19797728,,
136,0.643074673,0.19649033,,
137,0.663918944,0.163910987,,
138,0.661202363,0.197801446,,
139,0.583258816,0.000981891,,
140,0.592544394,1.29E-05,,
141,0.605572339,1.29E-05,,
142,0.598872271,1.29E-05,,
143,0.584570708,1.29E-05,,
144,0.585299467,1.29E-05,,
145,0.558836063,1.29E-05,,
146,0.525674662,1.29E-05,,
147,0.525715728,1.29E-05,,
148,0.506882869,1.29E-05,,
149,0.466587627,1.29E-05,,
150,0.434412232,1.29E-05,,
151,0.417454917,1.29E-05,,
152,0.394358393,1.29E-05,,
153,0.358976551,0.015771409,,
154,0.27459357,0.419912064,,
155,0.210308408,0.681177972,,
156,0.190534531,0.674768384,,
157,0.165330817,0.651136142,,
158,0.148206763,0.650245065,,
159,0.136032421,0.67800073,,
160,0.116099733,0.708896296,,
161,0.094117627,0.682746194,,
162,0.076227034,0.320695588,,
163,0.08432623,0.000661879,,
164,0.129763272,1.90E-06,,
165,0.17063258,1.90E-06,,
166,0.211058798,1.90E-06,,
167,0.235206626,1.90E-06,,
168,0.265840051,1.90E-06,,
169,0.257193713,1.90E-06,,
170,0.250336475,1.90E-06,,
171,0.228184217,1.90E-06,,
172,0.227223575,1.90E-06,,
173,0.216606497,1.90E-06,,
174,0.202419471,1.90E-06,,
175,0.236190843,1.90E-06,,
176,0.230361428,1.90E-06,,
177,0.226512651,0.011997857,,
178,0.191311226,0.241185093,,
179,0.181574337,0.38403571,,
180,0.136634659,0.441407806,,
181,0.078499615,0.517855155,,
182,0.056198777,0.546109732,,
183,0.04752177,0.549674471,,
184,0.053299559,0.594644102,,
185,0.06175059,0.535342781,,
186,0.065452757,0.283103874,,
187,0.079188352,0.001320214,,
188,0.113865324,0.002657325,,
189,0.135209312,1.99E-06,,
190,0.145265013,1.99E-06,,
191,0.143416528,1.99E-06,,
192,0.145651337,1.99E-06,,
193,0.12649118,1.99E-06,,
194,0.131951808,1.99E-06,,
195,0.140478197,1.99E-06,,
196,0.131647395,1.99E-06,,
197,0.119706574,1.99E-06,,
198,0.114995654,1.99E-06,,
199,0.125756366,1.99E-06,,
200,0.136658329,1.99E-06,,
201,0.14082046,0.011579869,,
202,0.1171318,0.100877586,,
203,0.109689389,0.158236068,,
204,0.135228025,0.211615942,,
205,0.146227207,0.222400894,,
206,0.127971506,0.237867909,,
207,0.121346055,0.192730396,,
208,0.141765322,0.139564443,,
209,0.178013126,0.117459495,,
210,0.242579,0.025459945,,
211,0.259985743,9.28E-05,,
212,0.294735623,7.76E-07,,
213,0.306822517,7.76E-07,,
214,0.298432844,7.76E-07,,
215,0.351418505,7.76E-07,,
216,0.404298004,7.76E-07,,
217,0.371549828,7.76E-07,,
218,0.324781962,7.76E-07,,
219,0.363199559,7.76E-07,,
220,0.367794883,7.76E-07,,
221,0.361144225,7.76E-07,,
222,0.339994019,7.76E-07,,
223,0.310346411,7.76E-07,,
224,0.266439247,7.76E-07,,
225,0.262872295,0.000817635,,
226,0.257271342,0.017869619,,
227,0.268974751,0.057463487,,
228,0.295943236,0.1103424,,
229,0.295286474,0.120976628,,
230,0.281254612,0.133349856,,
231,0.271027951,0.166931466,,
232,0.273788484,0.155560202,,
233,0.261831327,0.117447329,,
234,0.2523445,0.053331961,,
235,0.256180038,0.00100977,,
236,0.24912174,2.51E-06,,
237,0.256432093,2.51E-06,,
238,0.264617756,2.51E-06,,
239,0.249629472,2.51E-06,,
240,0.238195386,2.51E-06,,
241,0.232847162,2.51E-06,,
242,0.225766716,2.51E-06,,
243,0.197979263,2.51E-06,,
244,0.163330039,2.51E-06,,
245,0.147718042,2.51E-06,,
246,0.150117442,2.51E-06,,
247,0.157031683,2.51E-06,,
248,0.141900266,2.51E-06,,
249,0.149746584,0.005179931,,
250,0.150573615,0.167673071,,
251,0.155677016,0.316721895,,
252,0.145899109,0.391377302,,
253,0.125022556,0.389787039,,
254,0.107873758,0.408616638,,
255,0.100983916,0.416812788,,
256,0.086952477,0.395788386,,
257,0.068788992,0.324382483,,
258,0.062179105,0.134372705,,
259,0.069252387,0.000456697,,
260,0.079534355,4.58E-08,,
261,0.085857464,4.58E-08,,
262,0.09344103,4.58E-08,,
263,0.10515418,4.58E-08,,
264,0.104077872,4.58E-08,,
265,0.132916371,4.58E-08,,
266,0.146848598,4.58E-08,,
267,0.150689909,4.58E-08,,
268,0.157315422,4.58E-08,,
269,0.166942385,4.58E-08,,
270,0.180392182,4.58E-08,,
271,0.212389481,4.58E-08,,
272,0.218547889,4.58E-08,,
273,0.194833536,0.015156263,,
274,0.181815772,0.353571636,,
275,0.127171463,0.628617378,,
276,0.0941443,0.63304173,,
277,0.082137293,0.624493135,,
278,0.089318325,0.649892447,,
279,0.075892222,0.667500954,,
280,0.0596913,0.690017687,,
281,0.05319581,0.676199042,,
282,0.044033035,0.357721789,,
283,0.06247166,0.003894928,,
284,0.120815218,1.08E-06,,
285,0.199919934,1.08E-06,,
286,0.267177888,1.08E-06,,
287,0.315740673,1.08E-06,,
288,0.391602378,1.08E-06,,
289,0.432787597,1.08E-06,,
290,0.469981362,1.08E-06,,
291,0.475227644,1.08E-06,,
292,0.465201134,1.08E-06,,
293,0.447431015,1.08E-06,,
294,0.430789329,1.08E-06,,
295,0.437459562,1.08E-06,,
296,0.462117883,1.08E-06,,
297,0.446034169,0.019270495,,
298,0.413454615,0.496412702,,
299,0.329985673,0.716871816,,
300,0.269797029,0.699466218,,
301,0.249026653,0.698036554,,
302,0.27603763,0.6645752,,
303,0.293138564,0.72694239,,
304,0.331956711,0.731564422,,
305,0.350993704,0.711137644,,
306,0.344156857,0.364095355,,
307,0.390016205,0.004805974,,
308,0.485586786,2.32E-06,,
309,0.558280161,2.32E-06,,
310,0.594460062,2.32E-06,,
311,0.609621454,2.32E-06,,
312,0.624892082,2.32E-06,,
313,0.637316753,2.28E-06,,
314,0.628734146,2.28E-06,,
315,0.64129315,2.28E-06,,
316,0.661006982,2.28E-06,,
317,0.649981667,2.28E-06,,
318,0.65005219,2.28E-06,,
319,0.678737635,2.28E-06,,
320,0.704399686,2.28E-06,,
321,0.719275158,0.016002584,,
322,0.654401091,0.168268424,,
323,0.602971393,0.184044563,,
324,0.605833914,0.20412446,,
325,0.623175874,0.21592949,,
326,0.629024269,0.214663183,,
327,0.600161576,0.249271486,,
328,0.552442558,0.338315269,,
329,0.478203824,0.404675937,,
330,0.364492157,0.306684784,,
331,0.279261833,0.01610346,,
332,0.308762748,5.81E-06,,
333,0.323567416,5.81E-06,,
334,0.339844597,5.81E-06,,
335,0.363015502,5.81E-06,,
336,0.381747407,5.81E-06,,
337,0.408177087,5.81E-06,,
338,0.420805609,5.81E-06,,
339,0.465860719,5.81E-06,,
340,0.470940952,5.81E-06,,
341,0.487574984,5.81E-06,,
342,0.508322569,5.81E-06,,
343,0.510505992,5.81E-06,,
344,0.485133468,5.81E-06,,
345,0.473769937,0.017937996,,
346,0.429133511,0.455006586,,
347,0.412107555,0.70913871,,
348,0.53442724,0.738831639,,
349,0.562995356,0.716924829,,
350,0.535181661,0.716117427,,
351,0.530508253,0.736508841,,
352,0.534159453,0.752634017,,
353,0.525903486,0.724587794,,
354,0.474575368,0.394239318,,
355,0.376353648,0.006026173,,
356,0.373647199,1.01E-05,,
357,0.388938376,1.01E-05,,
358,0.411295819,1.01E-05,,
359,0.415168313,1.01E-05,,
360,0.415810832,1.01E-05,,
361,0.391450936,1.01E-05,,
362,0.329902572,1.01E-05,,
363,0.298211542,1.01E-05,,
364,0.285074572,1.01E-05,,
365,0.250491087,1.01E-05,,
366,0.232185306,1.01E-05,,
367,0.22425772,1.01E-05,,
368,0.204602464,1.01E-05,,
369,0.173649687,0.016403908,,
370,0.154118343,0.500160325,,
371,0.098596457,0.717003929,,
372,0.082352953,0.726286286,,
373,0.10015672,0.67347485,,
374,0.127295013,0.666315331,,
375,0.136940566,0.648739033,,
376,0.126534207,0.514720656,,
377,0.113335156,0.252749736,,
378,0.117770989,0.113306473,,
379,0.166324371,0.001770992,,
380,0.231038192,2.46E-08,,
381,0.248375735,2.46E-08,,
382,0.238224216,2.46E-08,,
383,0.208515737,2.46E-08,,
384,0.190276741,2.46E-08,,
385,0.19694824,2.46E-08,,
386,0.212119169,2.46E-08,,
387,0.204651551,2.46E-08,,
388,0.227374111,2.46E-08,,
389,0.212876304,2.46E-08,,
390,0.192201972,2.46E-08,,
391,0.203923325,2.46E-08,,
392,0.223785294,2.46E-08,,
