,r_id,resource,keff,ReacValue,p0,alpha,nearest_k
0,4,ap1000,1.205,17012.44813278009,1.0,1.0,1.20462
1,5,ap1000,1.205,17012.44813278009,1.0,1.0,1.20462
2,6,ap1000,1.205,17012.44813278009,1.0,1.0,1.20462
3,7,ap1000,1.205,17012.44813278009,1.0,1.0,1.20462
4,8,ap1000,1.205,17012.44813278009,1.0,1.0,1.20462
5,4,ap1000,1.20452625,16979.80845166305,1.0,0.4166666666666667,1.20424
6,5,ap1000,1.2044946666666667,16977.631560012444,1.0,0.4444444444444444,1.20424
7,6,ap1000,1.20414725,16953.67821501898,1.0,0.75,1.20386
8,7,ap1000,1.2045104583333337,16978.720020107765,1.0,0.4305555555555556,1.20424
9,8,ap1000,1.20452625,16979.80845166305,1.0,0.4166666666666667,1.20424
10,4,ap1000,1.204005125,16943.87513508301,1.0,0.4583333333333333,1.20386
11,5,ap1000,1.2043209583333334,16965.656615001895,1.0,0.1527777777777778,1.20424
12,6,ap1000,1.2036892916666666,16922.082224776786,1.0,0.4027777777777778,1.20348
13,7,ap1000,1.2039893333333338,16942.785761114195,1.0,0.4583333333333333,1.20386
14,8,ap1000,1.20452625,16979.80845166305,1.0,0.0,1.20424
15,4,ap1000,1.2033260833333332,16897.00623542537,1.0,0.5972222222222222,1.2031
16,5,ap1000,1.203247125,16891.55293015972,1.0,0.9444444444444444,1.2031
17,6,ap1000,1.2032155416666666,16889.371407651288,1.0,0.4166666666666667,1.2031
18,7,ap1000,1.202852333333334,16864.275664760215,1.0,1.0,1.20272
19,8,ap1000,1.20338925,16901.36836439249,1.0,1.0,1.2031
20,4,ap1000,1.2021890833333333,16818.409527785734,1.0,1.0,1.20196
21,5,ap1000,1.202110125,16812.94590210694,1.0,1.0,1.20196
22,6,ap1000,1.2020785416666666,16810.76025086408,1.0,1.0,1.20196
23,7,ap1000,1.201715333333334,16785.61700413803,1.0,1.0,1.20158
24,8,ap1000,1.20225225,16822.779911620055,1.0,1.0,1.20196
25,4,ap1000,1.202110125,16812.945902106927,1.0,0.0694444444444444,1.20196
26,5,ap1000,1.2019522083333332,16802.016497258803,1.0,0.1388888888888889,1.20158
27,6,ap1000,1.2015100416953364,16771.398881611072,1.0,0.4999999747847226,1.2012
28,7,ap1000,1.200578333333334,16706.809357157083,1.0,1.0,1.20044
29,8,ap1000,1.2017311250118488,16786.71050563492,1.0,0.4583333229121344,1.20158
30,4,ap1000,1.20168375,16783.429916564983,1.0,0.375,1.20158
31,5,ap1000,1.2018100833333332,16792.177577142134,1.0,0.125,1.20158
32,6,ap1000,1.2003730416953364,16692.56428920974,1.0,1.0,1.20006
33,7,ap1000,1.2000730000000006,16671.73580273871,1.0,0.4444444444444444,1.20006
34,8,ap1000,1.201004708345182,16736.379711794692,1.0,0.6388888888888888,1.20082
35,4,ap1000,1.2008152083333332,16723.239923989127,1.0,0.7638888888888888,1.20044
36,5,ap1000,1.2009573333333332,16733.09515297795,1.0,0.75,1.20082
37,6,ap1000,1.1992360416953365,16613.580210087785,1.0,1.0,1.19892
38,7,ap1000,1.2000730000000006,16671.73580273871,1.0,0.0,1.20006
39,8,ap1000,1.2001835416785154,16679.410667350836,1.0,0.7222222222222222,1.20006
40,4,ap1000,1.1996782083333333,16644.314029071054,1.0,1.0,1.1993
41,5,ap1000,1.2006415,16711.191475557018,1.0,0.2777777777777778,1.20044
42,6,ap1000,1.1987149166953366,16577.32909866188,1.0,0.4583333333333333,1.19854
43,7,ap1000,1.2000730000000006,16671.73580273871,1.0,0.0,1.20006
44,8,ap1000,1.1990465416785154,16600.40163243998,1.0,1.0,1.19892
45,4,ap1000,1.198541208333333,16565.238387541187,1.0,1.0,1.19854
46,5,ap1000,1.2006415,16711.191475557018,1.0,0.0,1.20044
47,6,ap1000,1.19794112502867,16523.443505951323,1.0,0.6805555555555556,1.19778
48,7,ap1000,1.2000572083333338,16670.63927820389,1.0,0.0138888888888888,1.19968
49,8,ap1000,1.199030750011849,16599.30322970298,1.0,0.0138888888888888,1.19892
50,4,ap1000,1.1983674999999998,16553.14417321897,1.0,0.1527777777777778,1.19816
51,5,ap1000,1.200215125,16681.603225088496,1.0,0.375,1.20006
52,6,ap1000,1.1977832083620032,16512.437892035276,1.0,0.1388888888888889,1.19778
53,7,ap1000,1.1999308750000006,16661.866042908558,1.0,0.1111111111111111,1.19968
54,8,ap1000,1.198604375011849,16569.635415345918,1.0,0.375,1.19854
55,4,ap1000,1.1972305,16473.895377707122,1.0,1.0,1.19702
56,5,ap1000,1.200215125,16681.603225088496,1.0,0.0,1.20006
57,6,ap1000,1.1966462083620033,16433.111724072325,1.0,1.0,1.19664
58,7,ap1000,1.199251833333334,16614.678234805047,1.0,0.5972222222222222,1.19892
59,8,ap1000,1.198604375011849,16569.635415345918,1.0,0.0,1.19854
60,4,ap1000,1.1967093750000002,16437.52268590694,1.0,0.4583333333333333,1.19664
61,5,ap1000,1.200215125,16681.603225088496,1.0,0.0,1.20006
62,6,ap1000,1.1960303333620033,16390.08040966388,1.0,0.5416666666666666,1.19588
63,7,ap1000,1.199251833333334,16614.678234805047,1.0,0.0,1.19892
64,8,ap1000,1.198604375011849,16569.635415345918,1.0,0.0,1.19854
65,4,ap1000,1.1962198333333336,16403.325531441493,1.0,0.4305555555555556,1.19588
66,5,ap1000,1.2001993333333332,16680.506960232706,1.0,0.0138888888888888,1.20006
67,6,ap1000,1.1959671666953366,16385.66443565735,1.0,0.0555555555555555,1.19588
68,7,ap1000,1.198920208333334,16591.613599528922,1.0,0.2916666666666667,1.19892
69,8,ap1000,1.198588583345182,16568.536202049785,1.0,0.0138888888888888,1.19854
70,4,ap1000,1.1951775833333336,16330.425374025675,1.0,0.9166666666666666,1.19512
71,5,ap1000,1.1990623333333332,16601.500005420894,1.0,1.0,1.19892
72,6,ap1000,1.1948301666953367,16306.097060990543,1.0,1.0,1.19474
73,7,ap1000,1.197783208333334,16512.437890036977,1.0,1.0,1.19778
74,8,ap1000,1.197451583345182,16489.316653086244,1.0,1.0,1.1974
75,4,ap1000,1.1940405833333336,16250.752783598178,1.0,1.0,1.19398
76,5,ap1000,1.1979253333333333,16522.34307313533,1.0,1.0,1.19778
77,6,ap1000,1.1936931666953368,16226.378109507314,1.0,1.0,1.1936
78,7,ap1000,1.196646208333334,16433.111722070225,1.0,1.0,1.19664
79,8,ap1000,1.196314583345182,16409.94652060827,1.0,1.0,1.19626
80,4,ap1000,1.1929035833333337,16170.928315455529,1.0,1.0,1.19284
81,5,ap1000,1.1967883333333331,16443.035735921003,1.0,1.0,1.19664
82,6,ap1000,1.1925561666953368,16146.507147661188,1.0,1.0,1.19246
83,7,ap1000,1.195509208333334,16353.634666343936,1.0,1.0,1.1955
84,8,ap1000,1.195177583345182,16330.425374855144,1.0,1.0,1.19512
85,4,ap1000,1.1919876666666671,16106.514524898635,1.0,0.8055555555555556,1.1917
86,5,ap1000,1.1956513333333332,16363.577564696943,1.0,1.0,1.1955
87,6,ap1000,1.1916560416953368,16083.16787641784,1.0,0.7916666666666666,1.19132
88,7,ap1000,1.194372208333334,16274.006291938713,1.0,1.0,1.19436
89,8,ap1000,1.194277458345182,16267.363750997803,1.0,0.7916666666666666,1.19398
90,4,ap1000,1.1908506666666672,16026.414730982258,1.0,1.0,1.19056
91,5,ap1000,1.1952881249999998,16338.163235747015,1.0,0.3194444444444444,1.19512
92,6,ap1000,1.1916560416953368,16083.16787641784,1.0,0.0,1.19132
93,7,ap1000,1.1936300000000006,16221.944823772905,1.0,0.6527777777777778,1.1936
94,8,ap1000,1.194277458345182,16267.363750997803,1.0,0.0,1.19398
95,4,ap1000,1.1903137500000005,15988.536635823992,1.0,0.4722222222222222,1.19018
96,5,ap1000,1.194151125,16258.50538808477,1.0,1.0,1.19398
97,6,ap1000,1.1916560416953368,16083.16787641784,1.0,0.0,1.19132
98,7,ap1000,1.1936300000000006,16221.944823772905,1.0,0.0,1.1936
99,8,ap1000,1.193661583345182,16224.161525116211,1.0,0.5416666666666666,1.1936
100,4,ap1000,1.1903137500000005,15988.536635823992,1.0,0.0,1.19018
101,5,ap1000,1.193993208357681,16247.4298010887,1.0,0.1388888674751171,1.19398
102,6,ap1000,1.1911980833620035,16050.905893197163,1.0,0.4027777777777778,1.19094
103,7,ap1000,1.193614208333334,16220.836429526176,1.0,0.0138888888888888,1.1936
104,8,ap1000,1.1933457500118487,16201.989239910476,1.0,0.2777777777777778,1.19322
105,4,ap1000,1.1900137083333338,15967.354577743165,1.0,0.2638888888888889,1.1898
106,5,ap1000,1.1938668750243475,16238.567220519795,1.0,0.1111111111111111,1.1936
107,6,ap1000,1.1910717500286705,16042.00166984659,1.0,0.1111111111111111,1.19094
108,7,ap1000,1.1934878750000009,16211.968219618546,1.0,0.1111111111111111,1.19322
109,8,ap1000,1.1926351250118488,16152.058661691264,1.0,0.625,1.19246
110,4,ap1000,1.1900137083333338,15967.354577743165,1.0,0.0,1.1898
111,5,ap1000,1.1938668750243475,16238.567220519775,1.0,0.0,1.1936
112,6,ap1000,1.1909612083620038,16034.20892479307,1.0,0.0972222222222215,1.19094
113,7,ap1000,1.1934878750000009,16211.968219618546,1.0,0.0,1.19322
114,8,ap1000,1.1919402916785156,16103.180085322998,1.0,0.6111111111109772,1.1917
115,4,ap1000,1.189997916666667,15966.239436693715,1.0,0.0138888888888888,1.1898
116,5,ap1000,1.1938668750243475,16238.567220519775,1.0,0.0,1.1936
117,6,ap1000,1.1909612083620038,16034.20892479307,1.0,0.0,1.19094
118,7,ap1000,1.1934878750000009,16211.968219618546,1.0,0.0,1.19322
119,8,ap1000,1.191877125011849,16098.73375243622,1.0,0.0555555555555555,1.1917
120,4,ap1000,1.1895873333333336,15937.235377422214,1.0,0.3611111111111111,1.18942
121,5,ap1000,1.1938510833576808,16237.459266065138,1.0,0.0138888888888888,1.1936
122,6,ap1000,1.1909612083620038,16034.20892479307,1.0,0.0,1.19094
123,7,ap1000,1.1934878750000009,16211.968219618546,1.0,0.0,1.19322
124,8,ap1000,1.191877125011849,16098.73375243622,1.0,0.0,1.1917
