,n,shut_count,start_count,obj_value
0,0,4,7,2915750.0
1,1,4,2,1682780.0
2,2,1,4,24088957.11499996
3,3,0,1,618979265.5254017
4,4,3,2,2279139.9689756804
5,5,4,1,26719248.59944157
6,6,0,3,2599990.0
7,7,2,0,2140410.0
8,8,1,3,1633150.0
9,9,5,4,1781650.0
10,10,1,0,1934850.0
11,11,2,2,1134880.0
12,12,3,5,1429540.0
13,13,0,1,530084162.818
14,14,0,0,2593187731.512
15,15,0,0,1209596146.331976
16,16,3,1,791228800.7364001
17,17,2,1,1710920.0
18,18,1,2,1740230.0
19,19,3,3,1341219.9018102842
20,20,5,3,1722640.0
21,21,2,1,821850.000000078
22,22,1,1,264570.0
23,23,1,1,479510.0
24,24,2,2,929710.0
25,25,1,4,1096190.0
26,26,4,1,803090.0
27,27,1,1,655370.0
28,28,1,2,597140.0
29,29,2,2,519370.0
30,30,2,2,529140.0
31,31,3,2,803090.0
32,32,2,3,1486990.0
33,33,2,2,871090.0
34,34,1,2,2710636.023000004
35,35,4,5,2270149.992371025
36,36,3,2,1662850.0
37,37,3,1,607300.0
38,38,1,3,558450.0
39,39,1,3,1936020.0
40,40,3,2,1634319.9825117046
41,41,2,2,1467060.0
42,42,2,3,1096190.0
43,43,3,4,2015350.0
44,44,4,2,1116120.0
45,45,1,3,1164190.0
46,46,4,3,1575700.0
47,47,3,3,1252900.0
48,48,2,2,1603840.0000002908
49,49,2,1,1857470.0
50,50,0,3,2854010.0
51,51,2,0,2306889.991954306
52,52,1,2,1505750.0
53,53,2,3,1711700.0
54,54,1,2,17190652.507999994
55,55,1,1,70463325.07199998
56,56,4,2,2014960.0
57,57,3,4,2806720.0
58,58,2,2,1906710.0
59,59,0,1,4734885.396999999
60,60,1,1,16544646.064817594
61,61,1,1,75588931.83699997
62,62,1,0,32284643.41799998
63,63,2,3,11643536.514999997
64,64,4,2,55407633.094999984
65,65,1,3,2248660.0
66,66,1,1,10186049.506000008
67,67,4,3,37390781.74999999
68,68,1,2,10029368.889000002
69,69,0,0,137073415.10807514
70,70,1,1,14843175.476159994
71,71,0,0,57092566.03163997
72,72,3,1,2385440.0
73,73,1,1,1632370.0
74,74,0,2,9720484.998
75,75,1,1,276560618.7122496
76,76,1,1,168541766.1730784
77,77,2,1,2727000.0
78,78,1,2,5622812.83499999
79,79,2,2,11325832.68950238
80,80,0,0,17605994.246999994
81,81,1,0,2990010.0
82,82,1,1,36565293.89699997
83,83,2,1,3108030.0
84,84,2,3,1731240.0
85,85,1,2,2746540.0
86,86,2,2,8410829.731999997
87,87,2,2,3388753.7789999936
88,88,3,1,2005189.990119428
89,89,1,1,2006385.3001107613
90,90,2,3,3085018.516999997
91,91,0,0,116998544.5032816
92,92,3,0,2521830.0
93,93,2,2,1340050.0
94,94,1,1,1339270.0
95,95,1,2,2736770.0
96,96,3,1,1261889.9999999888
97,97,0,3,1867240.0
98,98,3,3,1819559.9925649692
99,99,4,1,1926640.0
100,100,3,2,1262669.9931867288
101,101,0,4,2238890.0
102,102,2,0,2755920.0
103,103,3,1,617070.0
104,104,0,1,1036010.0
105,105,2,3,1819559.9942486724
106,106,4,1,900790.0
107,107,2,2,978560.0
108,108,2,2,1682000.0
109,109,0,1,1329889.7681464516
110,110,2,1,2072410.0
111,111,3,3,1956340.0
112,112,1,2,1740230.0
113,113,3,2,2209970.0
114,114,1,3,1242350.0
115,115,2,0,1007090.0
116,116,0,3,1964940.0
117,117,1,2,3193799.051999999
118,118,5,0,21865032.631576005
119,119,1,2,1046559.9998839058
120,120,1,5,2308059.909039501
121,121,4,0,1877400.0
122,122,3,4,146365444.99299994
123,123,2,4,2825870.0
124,124,3,4,5411052.105
125,125,1,1,36307342.82457281
126,126,5,5,7360914.437999996
127,127,4,1,51606857.84800002
128,128,0,3,168195930.78000003
129,129,3,0,18273666.542196788
130,130,3,6,17796067.259
131,131,3,1,73757575.65200001
132,132,1,3,29760210.513
133,133,1,1,671816005.644
134,134,1,0,3126790.0
135,135,4,5,9988108.489000004
136,136,5,1,26793328.72578558
137,137,1,5,2885579.0380000053
138,138,5,1,1233359.9999989371
139,139,0,4,642632826.6662558
140,140,1,1,766252046.393928
141,141,2,0,2873160.0
142,142,4,4,1429540.0
143,143,3,5,7200291.446999992
144,144,4,4,72513098.10999997
145,145,5,2,135991145.18100002
146,146,3,2,1096189.9975080208
147,147,3,2,1232970.0
148,148,1,5,910950.0
149,149,4,2,2054040.0
150,150,2,2,490060.0
151,151,2,3,1770320.0
152,152,3,5,1859420.0
153,153,4,3,1966500.0
154,154,4,2,1243130.0
155,155,1,4,1731240.0
156,156,4,4,1927810.0
157,157,5,1,1780480.0
158,158,1,2,802310.0
159,159,1,2,1261500.0
160,160,3,1,959020.0
161,161,2,3,1330670.0
162,162,1,2,2052870.0
163,163,0,0,2110320.0
164,164,1,2,1759770.0
165,165,2,2,2004410.0
166,166,2,2,2141190.0
167,167,2,1,1974710.0
168,168,1,3,1623769.9009035863
169,169,2,3,5549033.0200000005
170,170,4,2,2054040.0
171,171,0,3,1330669.9933636764
172,172,0,1,8776987.209999995
173,173,3,3,2532770.0
174,174,1,1,15250267.469000032
175,175,3,3,2796560.0
176,176,3,2,2092730.0
177,177,1,2,2678150.0
178,178,2,2,7414856.720000008
179,179,2,2,15125747.075753562
180,180,2,2,6053959.374999998
181,181,1,1,54694155.91199999
182,182,1,1,10256117.138999991
183,183,2,2,6018436.4559999965
184,184,0,0,122304873.0505248
185,185,0,0,413062208.1125855
186,186,2,2,469624642.91635686
187,187,1,1,7609965.089000006
188,188,1,1,23721681.7951872
189,189,2,2,6145482.590198367
190,190,2,2,4565865.569000003
191,191,2,2,8558097.085000003
192,192,2,2,3040030.0
193,193,1,1,3303040.0
194,194,1,1,18682068.775
195,195,0,0,700214467.4379503
196,196,0,0,306454831.1928
197,197,0,0,228987989.68141428
198,198,0,0,312536911.9120847
199,199,0,0,390771616.0893768
200,200,0,0,505219293.1871856
201,201,1,1,7123270.138999999
202,202,0,0,899115091.2197424
203,203,0,0,325530039.32641447
204,204,0,0,58521745.98000001
205,205,1,1,94939239.45
206,206,1,0,15095925.361999966
207,207,1,1,2404200.0
208,208,1,2,2697690.0
209,209,1,1,10543449.952999994
210,210,1,1,61333277.17399998
211,211,2,2,2873940.0
212,212,3,1,2483140.0
213,213,0,1,2394040.0
214,214,0,1,3556670.0
215,215,1,0,3175640.0
216,216,1,2,6292490.423
217,217,1,1,2893479.928147184
218,218,4,1,2649620.0
219,219,2,1,980157.665999994
220,220,0,4,1584300.0
221,221,4,3,1917650.0
222,222,1,0,2735990.0
223,223,2,1,1837929.9531276668
224,224,2,4,1878180.0
225,225,3,2,2581230.0
226,226,1,2,2189650.0
227,227,1,2,11221532.803
228,228,2,2,90182644.385
229,229,0,0,368142786.6954768
230,230,3,0,14598935.679409578
231,231,1,4,2819984.763000004
232,232,3,3,2132979.9921540515
233,233,3,3,11933977.592000002
234,234,2,1,14171961.255587196
235,235,0,1,3566440.0
236,236,3,0,3059180.0
237,237,0,3,2736770.0
238,238,2,0,3156490.0
239,239,1,2,103981613.92499998
240,240,0,1,1437762772.0165231
241,241,2,0,436486532.8689776
242,242,2,3,2678930.0
243,243,3,1,1369360.0
244,244,2,2,2444060.0
245,245,2,2,1711310.0
246,246,1,1,1388509.9964614362
247,247,4,4,2269760.0
248,248,0,2,1368580.0
249,249,2,1,1847700.0
250,250,2,3,2336980.0
251,251,1,3,7072125.864999999
252,252,4,3,2152130.0
253,253,0,1,2717095659.1181684
254,254,2,0,835024211.8338689
255,255,4,3,1888729.9965971007
256,256,3,5,15090726.191999998
257,257,4,0,192901255.077
258,258,1,4,1369750.0
259,259,3,1,64387872.949080005
260,260,1,1,1192720.0
261,261,0,3,2883319.9947554334
262,262,3,2,1770709.985792737
263,263,4,4,2699640.0
264,264,2,3,1477220.0
265,265,0,0,2813760.0
266,266,2,0,1808230.0
267,267,4,3,1595240.0
268,268,0,4,6110615.997999988
269,269,4,0,20025255.81453601
270,270,2,2,1662849.9373689292
271,271,0,3,2189650.0
272,272,4,1,2219740.0
273,273,1,2,1662849.791278993
274,274,2,2,1633150.0
275,275,1,1,2462820.0
276,276,2,1,2199420.0
277,277,2,4,998880.0
278,278,3,0,1251730.0
279,279,1,4,1379520.0
280,280,3,3,2034889.990079472
281,281,3,2,2327210.0
282,282,2,4,2454666.978479543
283,283,4,4,2230680.0
284,284,2,1,2599990.0
285,285,2,2,2072800.0
286,286,2,3,2853951.452999999
287,287,1,1,12452404.905000005
288,288,0,0,46598553.19799999
289,289,2,2,11678572.949999994
290,290,2,2,27049774.931
291,291,2,2,2913020.0
292,292,1,2,2923220.4862466
293,293,2,2,2639460.0
294,294,1,1,10647527.976999998
295,295,0,0,87112736.2312272
296,296,0,0,14521092.533999998
297,297,1,1,58740231.92550542
298,298,0,0,281594379.4224046
299,299,0,0,114766543.68299995
300,300,0,0,158041957.8638015
301,301,1,1,20151707.997
302,302,1,1,56496301.41986549
303,303,1,1,20463354.359999992
304,304,0,0,221511264.9323904
305,305,1,1,10443151.867999995
306,306,0,0,151640346.30135834
307,307,0,0,82772033.16599998
308,308,0,0,203301109.13492155
309,309,1,1,25146807.142999955
310,310,0,0,243073859.99528143
311,311,0,0,110290608.981
312,312,0,0,22540214.074823983
313,313,0,0,197707894.78959364
314,314,2,0,1179434422.5655825
315,315,0,0,926493730.0507584
316,316,0,0,1417383943.1282732
317,317,0,0,1394472433.0934875
318,318,0,0,1498739855.4892943
319,319,1,0,2168628239.0236607
320,320,2,0,3504845554.272
321,321,0,0,3870029683.985143
322,322,0,0,4283490260.223
323,323,0,0,3887011316.331
324,324,0,2,1979742645.43627
325,325,0,0,1485015781.686984
326,326,0,0,2431510585.1878896
327,327,0,0,2018740642.4435184
328,328,0,0,2972360764.26
329,329,0,1,1513680638.0768747
330,330,1,3,30604264.495516784
331,331,0,0,109954219.87549436
332,332,0,0,601665382.1458799
333,333,1,1,42703131.51207194
334,334,1,0,2980240.0
335,335,0,1,348562615.6076656
336,336,2,0,16397902.33823204
337,337,1,0,1983700.0
338,338,0,3,2658609.999998775
339,339,4,1,2698470.0
340,340,0,2,2326040.0
341,341,1,1,2482360.0
342,342,1,1,3078330.0
343,343,3,1,3147500.0
344,344,1,3,3362829.948072276
345,345,3,4,1712480.0
346,346,3,2,1858250.0
347,347,0,2,7253250.467999995
348,348,0,0,51007885.59431522
349,349,2,0,12593229.124492796
350,350,2,1,2815319.9980096216
351,351,2,3,2649620.0
352,352,1,2,2736770.0
353,353,1,0,3468740.0
354,354,1,2,2482750.0
355,355,3,2,2561690.0
356,356,4,2,27946027.02730719
357,357,0,2,1642140.0
358,358,2,1,9653579.573451202
359,359,1,3,6975869.551999997
360,360,3,0,6642792.8727311855
