,r_id,resource,keff,ReacValue,p0,alpha,nearest_k
0,4,ap1000,1.205,17012.44813278009,0.2,1.0,1.20462
1,5,ap1000,1.205,17012.44813278009,0.2,1.0,1.20462
2,6,ap1000,1.205,17012.44813278009,0.2,1.0,1.20462
3,7,ap1000,1.205,17012.44813278009,0.2,1.0,1.20462
4,8,ap1000,1.205,17012.44813278009,0.2,1.0,1.20462
5,4,ap1000,1.2045229029029818,16979.577757306877,0.2,0.419610463516425,1.20424
6,5,ap1000,1.2045092497723608,16978.63671956117,0.2,0.4316184939658223,1.20424
7,6,ap1000,1.204486091400978,16977.040487294747,0.2,0.4519864547247578,1.20424
8,7,ap1000,1.2044851918561668,16976.978483317485,0.2,0.4527776111111111,1.20424
9,8,ap1000,1.2044322895833337,16973.331863599877,0.2,0.4993055555555555,1.20424
10,4,ap1000,1.2041517986257737,16953.991918523872,0.2,0.3263889861111111,1.20386
11,5,ap1000,1.2041068627774345,16950.892739423023,0.2,0.3539023702079011,1.20386
12,6,ap1000,1.2040731392702697,16948.566711981344,0.2,0.3631944861111111,1.20386
13,7,ap1000,1.204063114236227,16947.8752254337,0.2,0.3712204221106072,1.20386
14,8,ap1000,1.2040487641964277,16946.88539733754,0.2,0.3373134449482539,1.20386
15,4,ap1000,1.2032548633761608,16892.087417445113,0.2,0.7888612573551215,1.2031
16,5,ap1000,1.2032663868053763,16892.88332445157,0.2,0.7392049006669055,1.2031
17,6,ap1000,1.203232220760665,16890.523479514588,0.2,0.7395941157473154,1.2031
18,7,ap1000,1.2032797011961418,16893.80291166451,0.2,0.6890176254047623,1.2031
19,8,ap1000,1.2032444910730815,16891.37100406114,0.2,0.7073642245788175,1.2031
20,4,ap1000,1.2022067604687068,16819.632622085075,0.2,0.9218143425277778,1.20196
21,5,ap1000,1.2022178201387097,16820.39783068414,0.2,0.9222222222222224,1.20196
22,6,ap1000,1.2021866671857238,16818.242349920212,0.2,0.9195721855244184,1.20196
23,7,ap1000,1.202240609497892,16821.974561511146,0.2,0.9138889166666666,1.20196
24,8,ap1000,1.2022093472757065,16819.81160219121,0.2,0.9104167083333332,1.20196
25,4,ap1000,1.201799642362423,16791.45468588575,0.2,0.3580634180153703,1.20158
26,5,ap1000,1.201779601657168,16790.067112050197,0.2,0.3854164305555555,1.20158
27,6,ap1000,1.2017857432565775,16790.492347644442,0.2,0.3526155929166666,1.20158
28,7,ap1000,1.2018521545018466,16795.090290079137,0.2,0.3416490730390744,1.20158
29,8,ap1000,1.20169611848804,16784.28642524132,0.2,0.4513885555555555,1.20158
30,4,ap1000,1.2012738058562964,16755.031606871977,0.2,0.4624771381941233,1.2012
31,5,ap1000,1.201235579087918,16752.382512738557,0.2,0.4784719166666666,1.2012
32,6,ap1000,1.2013088344652858,16757.458922283735,0.2,0.4194448472222223,1.2012
33,7,ap1000,1.2013476107992216,16760.145772069325,0.2,0.4437499583333333,1.2012
34,8,ap1000,1.2011994707608733,16749.88007057878,0.2,0.4368053888888888,1.20082
