,n,shut_count,start_count,obj_value
0,0,0,5,2125767.2323228954
1,1,0,0,1232440.7444429311
2,2,0,0,23342928.906532444
3,3,0,0,618581528.0135447
4,4,0,0,11734557.934356255
5,5,0,0,19878024.300372858
6,6,0,0,1976656.2381343043
7,7,0,0,1497814.1691663358
8,8,0,0,931873.33709322
9,9,0,0,1144835.9168919418
10,10,0,0,1154405.8572542728
11,11,0,0,978845.8326396648
12,12,0,0,833495.1700169977
13,13,0,0,529813102.942108
14,14,0,0,2593187731.512
15,15,0,0,1209586772.718514
16,16,0,0,793349048.6049196
17,17,0,0,1200887.5145233667
18,18,0,0,1111100.878298666
19,19,0,0,820128.9832511321
20,20,0,0,1028561.7401162558
21,21,0,0,751127.8021351348
22,22,4,0,628350.1712687907
23,23,0,1,589960.7725718085
24,24,0,0,391385.1865429558
25,25,0,2,722916.4175698267
26,26,1,0,754608.4479155266
27,27,0,0,591721.770480185
28,28,1,0,414126.1308310661
29,29,0,0,323704.79668315046
30,30,0,0,418246.1957457168
31,31,0,1,708698.2254946724
32,32,0,0,819489.8585193602
33,33,0,0,568495.7698554287
34,34,0,1,2443895.288583572
35,35,0,1,1264534.1854460433
36,36,0,0,916539.21687032
37,37,3,0,763426.5354269969
38,38,0,1,441070.9272480141
39,39,0,2,1485794.3161116205
40,40,0,0,1069024.7948619423
41,41,0,0,911761.47172515
42,42,0,0,769235.8676258973
43,43,0,0,1110466.1355502843
44,44,1,0,891114.2871039464
45,45,0,0,721044.4504707351
46,46,0,0,831416.967698057
47,47,1,0,702880.0361980565
48,48,0,0,958632.3332789284
49,49,0,1,1245658.700432731
50,50,0,1,2508241.818528761
51,51,0,0,1379530.2120073056
52,52,0,0,997604.133759788
53,53,0,0,1027981.522766664
54,54,0,0,16457041.546379693
55,55,0,0,69628563.24935693
56,56,0,0,1243115.381956605
57,57,0,0,1857202.0579950856
58,58,0,0,1060409.473421052
59,59,0,0,4320684.090779707
60,60,0,0,16146944.4387932
61,61,0,0,74854899.72413999
62,62,0,0,31327879.071986757
63,63,0,0,10859923.41794934
64,64,0,0,54529494.670984775
65,65,0,0,1239899.4822189012
66,66,0,0,9485454.439930366
67,67,0,0,36453636.52927003
68,68,0,0,9300444.942942403
69,69,0,0,136754525.92468363
70,70,0,0,41299474.84787314
71,71,0,0,56397007.47960108
72,72,0,0,13761500.00638657
73,73,0,0,1004400.2490087728
74,74,0,0,9119490.281551557
75,75,0,0,276135288.07231224
76,76,0,0,168108577.98602396
77,77,0,0,1831376.592820524
78,78,0,0,4886352.137916482
79,79,0,0,10625231.269997522
80,80,0,0,17396964.87864709
81,81,0,0,2493065.268103465
82,82,0,0,36051094.09436347
83,83,0,0,2463752.027576988
84,84,0,0,1030552.6312165428
85,85,0,0,1856501.4561466984
86,86,0,0,7677960.631849073
87,87,0,0,2861679.1414425573
88,88,0,0,1156393.835960564
89,89,0,0,1252408.7982510375
90,90,0,0,2289537.3219669648
91,91,0,0,116626646.55059348
92,92,0,0,27230729.991483025
93,93,0,0,799064.7416110991
94,94,0,0,990553.5069020046
95,95,0,0,2007782.446431745
96,96,0,0,955603.9426975668
97,97,0,0,1406873.3367163886
98,98,0,0,1127159.525725569
99,99,0,0,1342202.1416145223
100,100,1,0,936359.60908685
101,101,0,1,1733081.764034716
102,102,0,0,2198615.0028034057
103,103,2,0,828363.482365788
104,104,0,0,778202.8995710461
105,105,0,1,959705.3501214092
106,106,1,0,720159.8084406164
107,107,0,0,634216.4000451241
108,108,0,0,1095392.3127968698
109,109,0,0,743998.132903694
110,110,0,1,1657279.4322366095
111,111,0,0,1345226.1053058757
112,112,0,0,1108027.919948012
113,113,0,0,1358776.4258606331
114,114,0,0,758302.2261796597
115,115,0,0,716397.0326308799
116,116,0,0,1530603.39070243
117,117,0,1,2485755.0314131724
118,118,0,0,51970202.292388126
119,119,1,0,743483.6563458501
120,120,0,1,1395633.9243335146
121,121,0,0,1361940.6401573194
122,122,0,0,145234229.52145204
123,123,0,0,1687739.5223865495
124,124,0,0,4600957.014538889
125,125,0,0,35409285.755804025
126,126,0,0,6317705.036253939
127,127,0,0,108452152.47525728
128,128,0,0,167530628.78264713
129,129,0,0,17640014.277923897
130,130,0,0,16731940.779996715
131,131,0,0,72828394.2921744
132,132,0,0,29384298.02899364
133,133,0,0,671014073.8489367
134,134,0,0,30487760.73342917
135,135,0,0,29042624.395331256
136,136,0,0,12298053.598890943
137,137,0,0,1998045.1770530052
138,138,0,0,31262328.189835157
139,139,0,0,642314564.5678463
140,140,0,0,765648785.7856781
141,141,0,0,92287280.21240258
142,142,1,0,940195.0981272355
143,143,0,1,6383433.161953128
144,144,0,0,71591094.38896525
145,145,0,0,135457858.39163807
146,146,0,0,746174.5847690651
147,147,0,0,947550.5098993093
148,148,1,0,734831.3856045599
149,149,0,1,1278383.4475099004
150,150,3,0,618401.5358245601
151,151,0,1,974994.2981796942
152,152,0,2,1142789.7427181455
153,153,0,0,1179827.792866948
154,154,0,0,862166.4339247914
155,155,0,0,1033969.249317212
156,156,0,0,991014.1751566754
157,157,0,0,1183773.4344224248
158,158,1,0,693226.8219072524
159,159,0,0,670762.13303335
160,160,0,0,713289.6217569158
161,161,0,0,758544.8811174699
162,162,0,0,1224350.4899145516
163,163,0,0,1472123.8091632794
164,164,0,0,971545.2151330302
165,165,0,1,1382829.956242744
166,166,0,0,1304330.143856977
167,167,0,0,1102427.803469678
168,168,0,0,963933.9927542292
169,169,0,0,4790773.207447925
170,170,0,0,1178532.8031322418
171,171,0,0,792018.3637682721
172,172,0,0,8220243.541340272
173,173,0,0,1650962.157256512
174,174,0,0,14536877.717956144
175,175,0,0,1788711.0246485393
176,176,0,0,1297189.6530381888
177,177,0,0,1741813.0717071109
178,178,0,0,6488683.253893499
179,179,0,0,14434708.59974737
180,180,0,0,5233160.439537713
181,181,0,0,54172741.57429093
182,182,0,0,9603000.727728885
183,183,0,0,5136431.01219626
184,184,0,0,121953936.59494852
185,185,0,0,413051047.6751025
186,186,0,0,468919317.6957956
187,187,0,0,7010303.956900109
188,188,0,0,23373484.86909045
189,189,0,0,5466536.09221527
190,190,0,0,3878086.352911491
191,191,0,0,7935314.18823784
192,192,0,0,2214630.263620507
193,193,0,0,2743211.898138768
194,194,0,0,18037137.596384283
195,195,0,0,700214467.4379504
196,196,0,0,306133008.7561433
197,197,0,0,228906934.78966135
198,198,0,0,312536911.9120848
199,199,0,0,390771616.0893768
200,200,0,0,505219293.1871855
201,201,0,0,6609286.16619492
202,202,0,0,899115091.2197424
203,203,0,0,325270094.3651584
204,204,0,0,58195931.16062485
205,205,0,0,94506406.6187581
206,206,0,0,14629585.608537233
207,207,0,0,1761175.171656087
208,208,0,0,2193335.68403895
209,209,0,0,10026257.416286198
210,210,0,0,60755624.039918445
211,211,0,0,1995255.7779840208
212,212,0,0,1611112.594073317
213,213,0,0,1863838.5021849745
214,214,0,0,2933906.6260017413
215,215,0,0,2819720.964699592
216,216,0,0,5526259.591004277
217,217,0,0,2192845.6355343927
218,218,0,0,1885715.7391957005
219,219,0,0,857099.5644583831
220,220,0,0,980987.4831048136
221,221,0,0,1035267.6672230794
222,222,0,0,1946126.8718257155
223,223,0,0,1246521.258265371
224,224,0,0,1192115.874990677
225,225,0,0,1972525.18254742
226,226,0,0,1615800.0791276242
227,227,0,0,10544163.183332656
228,228,0,0,89498126.63353552
229,229,0,0,416347350.65871376
230,230,0,0,14189983.03185242
231,231,0,0,2118741.9017330958
232,232,0,0,1212465.9706236487
233,233,0,0,11216855.789616304
234,234,0,0,13665248.704675844
235,235,0,0,3240923.1244667936
236,236,0,0,2657666.214312495
237,237,0,0,1942047.289744668
238,238,0,0,2655494.7781140027
